,id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
2354,1,2022-07-18 10:54:00,Regular,LRF4 - Fundo,2022-07-18 10:51:00,2022-07-18 10:54:00,7.89,,23.2,14.07,2.98,5.27,,,3.0,,,0.107,0.077,,<0.016,<0.05,3.3,0.2,
2355,1,2022-09-21  12:10:00,Regular,LRF6 - Meio,2022-09-21  12:08:00,2022-09-21  12:10:00,7.84,,23.2,13.96,6.67,2.71,,,1.0,,,0.22,0.063,,<0.016,<0.05,2.5,<0.1,
2356,1,2022-07-18 11:08:00,Regular,LRF6 - Meio,2022-07-18 11:04:00,2022-07-18 11:08:00,8.54,,23.2,12.95,5.7,5.52,,,1.0,,,0.109,0.082,,<0.016,0.079,3.2,<0.1,
2357,1,2022-09-14 10:46:00,Regular,LRF3 - Meio Eufótico,2022-09-14   10:43,2022-09-14 10:46:00,6.89,,23.2,14,6.63,2.8,,,1.0,,,0.17,0.051,,<0.016,0.056,3.7,<0.1,
2358,1,2023-08-02 10:47:00,Regular,LRF2 - Meio Eufótico,2023-08-02 10:44:00,2023-08-02 10:47:00,7.69,,23.2,10.7,6.18,1.6,,,1.0,,,0.165,0.071,,0.02,0.23,4.2,<0.1,
2359,1,2024-06-14 11:16:00,Regular,LRF3 - Meio Eufótico,2024-06-14 11:13:00,2024-06-14 11:16:00,6.5,,23.2,9.34,5.56,5.45,,,1.0,,,0.13,<0.016,,<0.016,0.29,5.1,<0.1,
2360,1,2022-07-18 10:51:00,Regular,LRF4 - Meio,2022-07-18 10:48:00,2022-07-18 10:51:00,8.51,,23.2,12.97,5.86,5.4,,,1.0,,,0.09,0.081,,<0.016,<0.05,3.3,0.2,
2361,1,2022-09-12 10:53:00,Regular,LRF2 - Meio Eufótico,2022-09-12 10:49:00,2022-09-12 10:53:00,7.03,,23.2,13.4,7.43,2.81,,,1.0,,,0.16,0.039,,<0.016,0.07,3,<0.1,
2362,1,2022-06-08 12:43:00,Regular,LRF2 - Meio Eufótico,2022-06-08 12:40:00,2022-06-08 12:43:00,8.24,,23.2,10.4,6.61,4.4,,,1.0,,,0.13,0.137,,<0.016,0.069,1.6,<0.1,
2363,1,2024-08-02 10:47:00,Regular,LRF2 - Meio Eufótico,2024-08-02 10:44:00,2024-08-02 10:47:00,7.69,,23.2,10.7,6.18,1.6,,,1.0,,,0.165,0.071,,0.02,0.23,4.2,<0.1,
2364,1,2023-06-05 12:40:00,Regular,LRF3 - Meio Eufótico,2023-06-05 12:37:00,2023-06-05 12:40:00,8.11,,23.2,9.9,8.91,3.2,,,1.0,,,0.09,0.022,,<0.016,0.41,5.2,<0.1,
2365,1,2022-09-14 11:46:00,Regular,LRF2 - Meio Eufótico,2022-09-14  11:43,2022-09-14 11:46:00,7.14,,23.2,14,6.67,2.75,,,1.0,,,0.18,0.048,,<0.016,0.071,3.7,<0.1,
